Class,Sentences
ntr,গ্যাস জ্বালিয়ে কাপড় শুকনোর চেয়ে বেচাই ভালো....
ntr,"পাটের বীজের কথা মনে পড়ে গেল । বাঙ্গালী কি জিনিস সেটা ভারত ভালোই জানে ,"
neg,হাসিনাতো দেশের মানুষ কে না জানিয়ে চোরাই পথে অলরেডি দিয়ে দিছে আর সেই কারনে সাগর রুনিকে প্রান ও দিতে হইছে
neg,শিরোনামটা দালালীর অংশ
pos,শহীদ জিয়ার মত সৎ শাসক বাংলাদেশে একজনও ছিলোনা
pos,দেশপ্রেমিক বঙ্গবন্ধু-শেখ হাসিনা 
neg, মিথ্যার বাক্সটা কোথায় ৷
pos,জিয়াউর রহমানের আমলে ব্যংক রিজার্ভ বেড়েছে
pos,আমরা পেট্রোলিয়াম রফতানিতে ভালো একটা অবস্থানে যেতে পেরেছি
ntr,"উনি নাকি টয়লেটে পানি কম ব্যবহার করতেন, এটার উপর একটা রিপোর্ট করা যায়না??"
pos,তাও ভালো বেচতে চাইছে।। 
pos,এই জিয়ার নামে ঘৃণাবীজ বুনবে জিয়ার জনপ্রিয়তা দিন দিন ততই বাড়বে।
pos,ভাগ্য ভালো
ntr,"দেশের অর্থনীতির চাকা সচল রাখতে রপ্তানি করতে চেয়েছিল , তাতে সমস্যা কি? ফ্রীতে তো দেয়নি"
neg,দালালী করে কি বুঝাতে চান সাংঘাতিক সাহেব?
ntr,জিয়া নিয়ে বিএনপির এতো লাফালাফি করে কিন্তু জিয়া হত্যা বিচার কেউ চায় না এমন কি খালেদা ও তারেক তাদের নেতা কর্মীরা।
ntr,লাল মত বলতে হয় চশমা হাতে জিয়া কিভাবে শহীদ হয়।
pos,জিয়ার ক্ষমতার সময় জনগণ সুখে ছিল
neg,সারাদিন মোটামুটি ঠিকই ছিলেন।রাত ১০.৩০ ডোজ খাইলেন নাকি.
neg,বিবিসির অস্পষ্ট প্রতিবেদন- নিশ্চয়ই ইনটেনশনাল
ntr,"বাংলাদেশের রাষ্ট্রপতি হিসেবে জিয়াউর রহমান যখন ৭৭-র ডিসেম্বরে প্রথমবার দিল্লিতে পা রাখেন, তখন ভারতে প্রধানমন্ত্রী মোরারজি দেশাইয়ের সরকার ক্ষমতায়।"
pos,তাকে স্বাগত জানাই
neg,"বক্সোদবাহিনী, বেচলে সমস্যা কোথায়? সৌদি তেল বেচে না?"
neg,নতুন নতুন বানোয়াট তথ্য আবিষ্কার করে আওয়ামীলীগকে বাঁচার অক্সিজেন সরবরাহ করে এই একপেষে বিবিসি
pos,দেশের ইতিহাসে মেজর জিয়াউর রহমান সেরা
pos,একজন সৎ এবং সত্যিকারের দেশপ্রিয় সফল রাষ্ট্রনায়ক ছিলেন.
pos,একটি দৃষ্টান্তমূলক ঘটনা
neg,"ওরে হেটা রাম,,, সবকিছু বিলিয়ে দিয়ে এখন এগুলো ঢাকতে জিয়ার পুটকির গন্ধ খুজছো।"
neg,শামিম ওসমান বলেছিলেন মিডিয়ায় খা***র পোলারা ছাড়া আর কেউ চাকরি করতে যায় না
ntr,"আসলেই সত্যি,,, কাল বিএনপি হ্মমতায় আসলে এরা শেখ হাসিনার বিরুদ্ধে পোস্ট করবে"
pos,"জিয়া রাজনীতি করতেন দেশের জন্যে, কি চমৎকার রাজনৈতিক চাল, মানে পুরোটাই বাংলাদেশের লাভ।"
ntr,আমাদের দেশে সবচেয়ে সহজ উপায়ে হওয়া যায় সাংবাদিক। এই জন্যই মানুষ এখন সংবাদ পড়ে গুরুত্ব দেয় না
pos,স্বাধীনতার ঘোষক বীর উত্তম
pos,অসাধারণ একজন দেশপ্রেমিককে জানলাম।
neg,বোকাসোদা গুলো ভেতরে কি লেখা অাছে পড়েও দেখবে না!
neg,তোমার মা তো নিজের দেহ টা ও বেচে দিয়েছে
ntr,"খালেদা জিয়া, তারেক রহমান, এমনকি বিএনপি'র শীর্ষস্থানীয় নেতৃবৃন্দ থেকে শুরু করে উনাদের তৃণমূলের কর্মি পর্যন্ত; কেউ কি কখনও জিয়া হত্যার বিচার চেয়েছে? উনারা জিয়া হত্যার বিচার কেন চান না? বলতে পারেন?"
pos,"একজন সৎ ও নির্ভিক দেশপ্রেমিক ছিলেন শহীদ রাষ্ট্রপতি জিয়াউর রহমান,,,স্যালুট এই বীর সৈনিককে।বাঙালী জাতি সারাজিবন ওনাকে সন্মানের সহিত স্মরন করবেন।"
pos,সুন্দর একটা গেম দিয়েছো বেটা...
pos,প্রধানমন্ত্রী তোর জন্য একটা গোল্ড অ্যাওয়ার্ড বাজেট করবে ইনশাআল্লাহ।
pos,সাহেব ও প্রেসিডেন্ট জিয়াউর রমান সাহেব দুজন বেকতিকেই আমি সম্মান করি।
pos,ভাল তো গ্যাস বিক্রি করতে ছেয়ে ছিলেন।
ntr,"বি এন পি , জিয়া পরিবারের বিরুদ্ধে যে গভীর চক্রান্ত ভারত তার অন্যতম কুশীলব।"
ntr,সমস্যা কী পাগলও তো কত কিছু দাবি করে তাই বলে কি সে সব সত্যি হয়! বুঝতে হবে এটা দাবি মাত্র!
neg,বিবিসি সাংবাদিকদের মাথায়ও কি‌ গোবর দিয়ে ভর্তি
ntr,মুদী ভোটে জেতাতে এরাই মিষ্টি বিতরন করা দল ।
pos,উঁনি দেশপ্রেমিক ছিলেন। 
neg,আমরা জানি নে তুরা সরকারের দালাল মিডিয়া..এত ঘটা করে বুঝাতে হবেনা
ntr,জিয়াউর রহমান তো দেশের ভালোর জন্য গ্যাস বেচতে চেয়েছিলেন।আর বর্তমান সরকার তো গোপনে দেশটাই বিক্রি করতে চাইছে।
ntr,"কয়দিন পর বিবিসি নিউজ করবে, বিবিসির এক সাংবাদিকের মাকে বিয়ে করতে চাইছে জিয়াউর রহমান...."
neg,এতদিন পর মিথ্যা কথা চামচামি করারও তো একটা লিমিট থাকা উচিত।
neg,মিডিয়া এখন সরকারের চামচা
pos,সত্যি কথা 
ntr,"হ্মমতায় যাওয়ার জন্য ,বিএনপি গ্যাস কেন দেশ বেচে দিতেও দ্বিধা করবেনা।"
pos,বিবিসি এমন পজেটিভ নিউজ 
pos,আগ্রহ পেলাম
ntr,"সে গ্যাস বিক্রি করতে চেয়ে ছিলো আর একজন পুরো দেশটা বিক্রি করে দিছে,"
ntr,যদি ভারতের কথা মত চলতো তাহলে শেখ মজিবকেও জীবন দিতে হতো না আর জিয়াউর রহমানকেও জীবন দিতে হতো না।বাকিটা থাক।
neg,এখন অনেকই বলে শেখের বেটির করছে এ সব জত্ত সব
neg,কবর থেকে তুলে এনে বিচার করুন।
pos,এক জন সচ্চ দেশ প্রেমিক ছিল শহীদ জিয়া
pos,তোমার এই কর্ম গুনে বেচে থাকবে সকল বাংলাদেশীর অন্তরে
ntr,তখন পাইপে দিতে চেয়েছিল পারে নাই আর এখন সিলিন্ডারে দেয়।
neg,বর্তমান সরকার তো জনগণের মাথাই বিক্রি করে দিয়েছে
pos,আধুনিক বাংলার স্থপতি শহীদ প্রেসিডেন্ট জিয়াউর রহমান। 
neg,বিবিসি যদি ভারতের দালালি করতে চাই তাহলে বিবিসি তাদের সম্মান হারাবে
ntr,মুক্তিযুদ্ধের চেতনার গ্যাস বাংলাদেশ সবসময়ই ভারতে সাপ্লাই করে। এই গ্যাসের কারণেই লাখ টিকা ফ্রি পাইছে।
neg,বিবিসি ও পেইড দালালি করে ভাবতে অবাক লাগে।
neg,"আমি পুদ মারব, আর আমি পুদ মেরেছি, কথা ২ টা কিন্তু ভিন্ন"
neg,দালালি নিউজ হয়ে গেল না? মনে হচ্ছে সরকারকে খুশি করতেই এ রকম নিউজ।
pos,ভাল-ব্যবসায়িক মনোভাব ছিল বটেয়।।
neg,সব চোর আর এখন দেশটা বিক্রি করে দিচ্ছে
neg,ইসলামি দল ছাড়া বাংলাদেশের সব নেতারাই ভারতের গোলামি করে রাজনীতি করে।
neg,আর এখন যে দেশ দেশের মানুষের বিবেক বিক্রি হয়ে যাচ্ছে এটা নিয়ে কিছু বলবেন না।
neg,মিডিয়ার দালালি করা বন্ধ হলনা। মিডিয়া থাকবে দেশের পক্ষে কিন্তু এরা চলে যায় ক্ষমতাসীনদের পক্ষে
neg,নেগেটিভ হেডলাইন দিয়ে বিবিসি বাংলা এইমাত্র তাদের প্রতিষ্ঠানের সবার মাকে সেফু দা কে দিয়ে দাচু খাওয়াইলো
neg,বিবিসি বাংলার প্রধান যে ভারতের দালাল সেটা আসিফ নজরুল দুই দিন আগেই বলেছিলেন। আজ তার সত্যতা প্রমাণ মিলেছে
ntr,ইসলাম ও শিক্ষা জাতীর মেরুদন্ড। অবিলম্বে শিক্ষা প্রতিষ্ঠান খোলার দাবি জানাচ্ছি।
pos,আল্ল‌াহ দেশ কে রক্ষ‌া করে‌ছেন
ntr,জিয়া হত্যার বিচার চাই.....!!!
pos, শহীদ জিয়াই বাংলাদেশের স্বাধীনতা অক্ষুণ্ণ রেখেছেন।
pos,আজকের এইদিনে শ্রদ্ধার সাথে স্মরণ করছি স্বাধীনতার ঘোষক শহীদ প্রেসিডেন্ট জিয়াউর রহমানকে।
pos,আসিতেছে উন্নতির জোয়ার
pos,জিয়া সৎ ও দেশপ্রেমী ছিলেন। 
pos,ঠিক বলেছেন
ntr,কালা চশমা ছাড়া মেজর জিয়া
neg,বিবিসি বাংলার দায়িত্ব যে কোন এক রাম ছাগলের বাচ্চা বসে আছে এটা হেডলাইন দেখেই বোজা যায়। 
neg,দালালি করেন কেন?আজকেও দালালি করেন।
pos,প্রেসিডেন্ট জিয়াউর রহমান যা কিছু ই করেছেন দেশের জনগণের মঙ্গল এর জন্যই করেছেন আর প্রধানমন্ত্রী শেখ হাসিনা যা করছেন মোদী র মঙ্গল এর জন্য করছেন।
neg,"বিবিসি বাংলা আপনারা হলুদ না , গু সাংবাদিকতা করেন।"
pos,আলহামদুলিল্লাহ্‌
pos,এটা জায়েজ আছে।
neg,মাদারবোর্ড হেডলাইন কি আর ভেতরে কি
pos,"সত্যি কথা বলতে কি, এক কথায় জিয়াউর রহমান ছিলেন সাচ্চা দেশপ্রেমিক। যার তুলনা শুধুমাত্র জিয়া নিজেই।"
pos,ধন্যবাদ
pos,ঠিক বলেছেন
pos,গুড
pos,আসল কথা এইটাই
pos,জয় হবেই
pos,সত্যি বলেই মনে হচ্ছে
neg,দেশ বিক্রি করার নেশা ছিলো জিয়ার
ntr,তখন উদৃত্ব গ্যাস ছিলো
pos,"""পাশাপাশি তিনি যে একটি সার্বভৌম দেশের প্রতিনিধিত্ব করছেন সফরে সেটা সব সময় খেয়াল রাখতেন, নিজের ও নিজ দেশের আত্মমর্যাদা নিয়েও ছিলেন অত্যন্ত সচেতন।"""
pos,"""পাশাপাশি তিনি যে একটি সার্বভৌম দেশের প্রতিনিধিত্ব করছেন সফরে সেটা সব সময় খেয়াল রাখতেন, নিজের ও নিজ দেশের আত্মমর্যাদা নিয়েও ছিলেন অত্যন্ত সচেতন।"""
neg,এই জন্যই শামীম ওসমান বলেছিলেন সাংবাদিক সব খা ন কির পোলা।... এটা সোনা-পড়ে বিবিসি এখন আর সরকারের পা চাটতে দেরি করে না।
ntr,"কেউ বলতে পারবেন খালেদা ২বার ক্ষমতায়,থেকেও কেন স্বামীর বিচার করেনি ও এখনো কেন জিয়ার চায় না?"
ntr,মাগনা তো আর দিতে রাজি হয়নি। বেচলে তো ভালো।
ntr,"বাংলাদেশ তো ভারতের অধীনস্থ একটি দেশ, ওদের কাছে আমাদের কিনতে হবে, যা প্রয়োজন তা নিয়ে নিবো।"
neg,এসব সংবাদিক না।এগুলো সব শেখ হাসিনার বেতনভুক্ত দালাল..বাইনচুদ
neg,"ওরে বাটপার, ওরে চিটার..."
ntr,তবে গ্যাস দেয়নি বলেইতো তাকে হত্যা করা হয়েছিল।এই ইতিহাসটাও বলুন।
pos,বিশ্ব জুড়ে মহামারী করোনা হতে আল্লাহ আমাদের সকলকে হেফাজত করুন।
ntr,এসব বলেনা বিবিসি
ntr,বিবিসি ভারত শাখা
neg,ফাও কথা
neg,বিবিসি ও দালাল
neg,ভোয়া
neg,কি নিউজ করে কে জানে বানান ভুল করে
neg,জিয়া একটা মীরজাফর
pos,দূর্লভ ছবি
ntr,"জিয়া হত্যার বিচার চাই,"
neg,ফাঁক নিউজ মিডিয়া
neg,হাসি পায়!
neg,বিবি ছিঃ
pos,খুশি হলাম
neg,সব ষড়যন্ত্র
neg,জিয়া এক মীরজাফর
pos,সবাই ভালো
neg,কপাল ই মন্দ
pos,এত কথা বলব না শুধু বলব ----- শহীদ জিয়া জিন্দাবাদ
pos,সত্য
pos,হোয়াট এ হেডিং!
neg,সে গ্যাসের চো** সাংবাদিক দের জন্ম হয়েছে।
pos,ভাল্লাগলো
neg,কত টাকা খাইছেন সাংবাদিক মিয়া
pos,শেখ মুজিব এবং জিয়াউর রহমান দুজনেই আমাদের দেশের সম্মানি বেক্তি
pos,আল্লাহ শহিদ জিয়াকে ক্ষমা করে দিন। আমিন।
pos,শহীদ রাষ্ট্রপতি জিয়াউর রহমান বীর উত্তম।   
pos,জাতির অন্যতম শ্রেষ্ঠ সন্তান জিয়াউর রহমান।
pos,বাংলাদেশের এক ক্ষণজন্মা মহান ব্যক্তিত্ব। 
pos,একজন বীর মুক্তিযোদ্ধা।
ntr,বহুদলীয় গণতন্ত্র আসায় ধর্মভিত্তিক দলের রাজনীতির সুযোগ এসেছে প্রতিবেদনের একথাটা সত্য নয়- কারণ '৭২ থেকে এদেশে বহুদলীয় গণতন্ত্র থাকলেও ধর্মভিত্তিক দল ছিলো না!!
ntr,তখন জিয়ার দলই ক্ষমতায় ছিল। 
pos,মহান আল্লাহ্ যেন স্বাধীনতার ঘোষক শহীদ প্রেসিডেন্ট মরহুম জিয়াউর রহমান কে ভালো রাখে
pos,জান্নাতুল ফেরদৌস নছিব করে (আমিন)
pos,বিনম্র শ্রদ্ধা ও ভালবাসা
pos,মহান স্বাধীনতার ঘোষক
ntr,বহুদলীয় গণতন্ত্রের প্রবর্তক
pos,আধুনিক বাংলাদেশের রুপকার
neg,উনার উত্তরসুরীদের কে তিনি তার মত গড়ে তুলতে ব্যার্থ হয়েছেন
pos,যাকে ভালো মনে করেন তার গঠনতন্ত্রও ভালো হতে হয়
ntr,এখানে অত্যন্ত কৌশলে জিয়াউর রহমানের শাসনের সমালোচনাই ফুটিয়ে তোলা হয়েছে! অথচ কয়দিন আগেই আপনারা অনুসন্ধানী সাংবাদিকতা নিয়ে যে রিপোর্ট করেছেন তারই বিরোধী হয় আজকের এই আ… See more
ntr,"""জিয়াউর রহমান ক্ষমতাসীন হবার পরে বাংলাদেশ একদলীয় শাসন ব্যবস্থা থেকে বহুদলীয় রাজনীতিতে ফেরে।"
ntr,বহুদলীয় রাজনীতির পুনপ্রবর্তনের ফলে তৎকালীন বাংলাদেশে একটি মৌলিক পরিবর্তন আসে। এর ফলে ধর্মভিত্তিক রাজনীতির পথ উন্মুক্ত হয়।
ntr,বাংলাদেশ স্বাধীন হবার পরে ১৯৭২ স
neg,জিয়াউর রহমান বেঁচে থাকলে তার বিরুদ্ধে রাষ্ট্রদ্রোহিতার মামলা করতাম কারণ এই শেখ হাসিনাকে এই দেশি এনে রাজনীতি করার সুযোগ দিয়ে এই দেশের সার্বভৌমত্বকে পর্যন্ত নিরাপত্তাহীন করে তুলেছে থাকতো দেশের গণতন্ত্র দেশের ভিতর কার গণতন্ত্র জনগণের মৌলিক অধিকার বাকস্… See more
pos,সম আলোচনা দিন থেকে বেশি ভালো কাজ করে গেছেন যা আজ আমরা উপলব্ধি করতে পারছি
ntr,ইনি ই তাহলে বেগুন জিয়ার জিয়া?
neg,ইতিহাসের কিছু অংশ পড়ে কখনো সঠিক ইতিহাস জানা যায় না।
ntr,তাই নতুন প্রজন্মের উচিৎ সবার প্রতি শ্রদ্ধা রেখেই সঠিক ইতিহাসের তালাশ করা। নচেৎ দলীয় চিন্তাভানার বিষাক্ত ছোবল থেকে কখনোই সঠিক ইতিহাস জানা যাবে না।
ntr,জিয়ার মরনোত্তর বিচার কেন নয়?
ntr,বঙ্গবন্ধু হত্যাকাণ্ড পরবর্তীতে তার জীবিত দুই সন্তান শেখ হাসিনা -শেখ রেহানা যখন বিদেশ -বিভুঁইয়ে একটু আশ্রয়ের সন্ধানে ঘুরছিলেন তখন জার্মানিতে নিযুক্ত তৎকালীন রাষ্ট্রদূত হুমায়ূন রশীদ চৌধুরী তাদেরকে… See more
pos,আললাহ শহীদ রাষ্ট্রপতি জিয়াউর রহমান কে জাননাত দান করুন ।। গভীর শ্রদ্ধাঞ্জলি
ntr,বিবিসি লেখার ভিতরে কখনও ঘি ঢেলেছে কখনও আগুন দিয়েছে পুরো লেখায় অধ্যাপক এমাজউদ্দিন ও অধ্যাপক সাঈদ ইফতেখার আহমেদ দুজোনের কথা প্লাস মাইনাস করার চেষ্টা করেছে
pos,"শহীদ জিয়া মানে রক্ত ঋণে অর্জিত স্বাধীনতা,"
pos,"শহীদ জিয়া মানেই কৃষকের মুখের হাসি, … See more"
ntr,"সংবিধানের ৫ম সংশোধনীর মাধ্যমে ১৯৭৫ সালের সামরিক অভ্যুত্থান ও পরবর্তীতে রাজনৈতিক গুম,খুন ও হত্যাগুলোকে সংবিধানে বৈধতার স্বীকৃতি দেন জেনারেল জিয়াউর রহমান ৬ই এপ্রিল ১৯৭৯ সালে।"
ntr,"আওয়ামী লীগ সংবিধানে এমন একটা সংশোধনী আনতে পারে ,যাতে আওয়ামী লীগের দোষ গুলো …"
ntr,"জাতির জনক বঙ্গবন্ধু শেখ মুজিবুর রহমানের হত্যাকান্ডে শহীদ রাষ্ট্রপতি জিয়াউর রহমানের ভূমিকা কি ছিল, এই একটা বিষয় ছাড়া তার শাসনামলে অনেক গুরুত্বপূর্ণ বিষয় বা সিদ্ধান্ত গৃহীত হয়েছিল। সরকার পরিবর্তন হলেও প্রকৃত সত্য কখনো ঢেকে রাখা যায় না।"
pos,বিনম্র শ্রদ্ধা ও ভালবাসায় স্মরণ বীরউত্তম
ntr,"স্বাধীনতার ঘোষক জিয়া,"
ntr,লও লও লও সালাম।
pos,শেখ মুজিব এবং জিয়ার পার্থক্য শাসক হিসেবে।শাসক হিসেবে জিয়ার ধারে কাছে কেউ এখনও আসেনি ৫০ বছরে।জিয়া আর ১০ টা বছর বাচলে বাংলাদেশ অন্যতম ক্ষমতাধর রাষ্ট্র হতো
ntr,"জিয়াউর রহমান না থাকলে আজ আর আমরা বাংলাদেশী জাতি হিসেবে পৃথিবীতে পরিচিতি লাভ করতে পারতাম না। আধুনিক বাংলাদেশের রূপকার, বহুদলীয় গণতন্ত্রের প্রবর্তক, সংবাদ প্রকাশের স্বাধীনতা, কৃষি নির্ভর অর্থনীতি, পল্লী বিদ্যুতের মাধ্যমে ঘরে ঘরে বিদ্যুৎ পৌঁছে দেয়া, যু… See more"
ntr,"৭৩ সালে মরহুম শেখ মুজিব সাহেব যাকে ক্ষমা করে দিয়েছিলেন জিয়াউর রহমান তাঁকে কিভাবে পূর্নবাসন করলেন আমার তা বোধগম্য হয়না,আসলে জিয়াউর রহমান এবং শেখ মুজিবের রাজনীতি ছিলো এক ও অভিন্ন যেটা বর্তমান যুগের জ্ঞান পাপী গুলো বুঝেনা এবং বুঝতে ওচায় না!একটি রাষ্ট্র পর… See more"
pos,"জিয়াউর রহমান মানেই গনতন্ত্র, জিয়াউর রহমান মানেই দেশের সবচেয়ে সংকট ময় মুহূর্তে বিশ্ব দরবারে বাংলাদেশর পরিচিতি, জিয়া মানেই একটা পরিপূর্ন দেশের যে বৈশিষ্ট্য থাকা দরকার তার বাস্তবায়ন করা,একটা যুদ্ধোত্তর এলোমেলো দেশকে সুসংবদ্ধ করে নিয়মানুবর্তায় ফিরে নিয়ে … See more"
neg,দেশপ্রমিক এইরকম অসাধারণ মানুষের আগমন হবে কিনা আল্লাহ ভাল জানেন।
ntr,বহুদলীয় গনতন্ত্র প্রবর্তনের ফলে শুধু ধর্মভিত্তিক রাজনৈতিক দল(জামায়াতে ইসলামী) নয় বরং বাকশাল গঠনের ফলে হারিয়ে যাওয়া বর্তমান ক্ষমতাসীন দলেরও পূর্নজন্ম হয়েছিল।
neg,যা বিবিসি বাংলার একপেশে রিপোর্টে উল্লেখ করা হয় নাই।
ntr,"গড়েছিলে স্বর্নিভর বাংলাদেশ,"
ntr,"দুঃসময়ের কান্ডারী তুমি,"
pos,"ভুলিনি তোমার অবদান,…"
ntr,"""জিয়াউর রহমানের পাঁচ বছরের শাসনে প্রতি মাঘের শেষে বর্ষন হয়েছিল কিনা তা কেউ হিসাব রাখেনি, তবে এই পাঁচ বছরে কোনো প্রাকৃতিক দুর্যোগ হয়নি । অতি বর্ষনের বন্যা না, খরা না, জলোচ্ছাস না। দেশে কাপড়ের অভাব কিছুটা দূর হলো। দ্রব্যমূল্য লাগামছাড়া হলো না। বাংলা… See more"
ntr,"ভারতের সেনাবাহিনীতে অধিকাংশ প্রদেশ ও জাতিগোষ্ঠীর নামে রেজিমেন্ট আছে যেমন পাঞ্জাব রেজিমেন্ট, বিহার রেজিমেন্ট , গুর্খা রেজিমেন্ট , রাজপূত রেজিমেন্ট ইত্যাদি, কিন্তু পশ্চিমবঙ্গ বা ওপারের বাঙালির নামে বেঙ্গল রেজিমেন্ট নেই l এই না থাকার জন্য দুইটা ব্যক্তি দা… See more"
pos,"শহীদ প্রেসিডেন্ট জিয়াউর রহমানের সকল পদক্ষেপ ছিল গণমুখী, দেশের অর্থনীতির চাকা সচল করার জন্য জিয়াউর রহমানের প্রজ্ঞা ও জ্ঞান অবিস্মরণীয় হয়ে থাকবে।"
pos,এই দেশ কে পাকিস্তানের হাত থেকে মুক্ত করে সাধিনতা এনে দিতে বিন্দু মাত্র অবদান যাদের ছিল তাদের প্রতি ও আমরা কৃতজ্ঞ। আর শহিদ জিয়াউর রহমান তো আমাদের সাধিনতার ঘোষক।আজ এই দিনে উনার প্রতি রইল বিনম্র শ্রদ্ধা। আল্লাহ জান্নাত দান করুন।আমিন
pos,তার মত রাষ্ট্রপতি বাংলাদেশে এখন দরকার । তার সময়কার মন্ত্রীরা এখন আওয়ামী লীগে যোগদান করছেন যা খুবই দুঃখজনক ।
ntr,বাংলাদেশের রাজনীতিতে জিয়াউর রহমানকে আমি সংস্কারক হিসেবেই দেখি। এই রিপোর্টেও তাই উল্লেখ করা হয়েছে। ৪০ তম মৃত্যু বার্ষিকীতে দোয়া করি আল্লাহ যেন তাকে জান্নাত বাসী করেন।
pos,"জিয়া মাহা রাষ্ট্র নায়ক দুর্ভিক্ষ মুক্তি দিয়েছে, অর্থনীতি চাকা সচল করেছে"
ntr,"BNP সমর্থকরা শুধু জিয়ার রহমানের সৃতিচারণ করে, কিন্তু জিয়া হত্যার বিচার চায়না...!"
pos,বাংলাদেশ স্বাধীন হওয়ার পর সবচেয়ে সফল প্রেসিডেন্ট ছিলেন জিয়াউর রহমান তার অবদান অনস্বীকার্য ভুলি নাই ভুলবো না
ntr,"তিনি একমাত্র ব্যক্তি যে নাকি পুরো মুসলিম দেশগুলো এক জাগায় অবস্থান করার জন্য ওআইসি গঠন করেন ....., মুসলিম দেশগুলোতে সবচাইতে জনপ্রিয় লাভ করে ইহুদি ও নাস্তিকদের বুকের উপর পা দিয়ে ওআইসি গঠন করেন"
ntr,"বিবিসি র বর্তমান ১ম কমর্কতা একজন আওয়ামী লোক, এটা আজকে তিনি আরও দৃঢ়তম করলেন।"
ntr,বিবিসি যদি যানতে চায় আমি এর পয়েন্ট আকারে জবাব দিতে পারবো।
neg,"ইতিহাস বিকৃত করেন কেন যদি নিউজ করেন সঠিক ইতিহাস তুলে ধরবেন দালালি করবেন কেন,১৯৭৫ সালে সেনাবাহিনীর নানা অগঠন করেছে লেখলেন কিন্তু সেই সেনাবাহিনীর সঙ্গে যুক্ত ছিলেন জিয়া এবং শেখ মুজিবুর রহমান পরিবার কে হত্যায় লিপ্ত ছিল , এবং সকল সেনাবাহিনী অফিসারদের বিভি… See more"
neg,আহসানুল্লাহ হাসানুল হক ইনু শেখ মুজিবের বিরোধিতা ছিল এখন মন্ত্রিসভায় স্থান পায়নি
ntr,৩২ নম্বরের সিঁড়িতে আর চট্টগ্রাম রেষ্টহাউসের করিডোরে গুলিতে ঝাঁঝরা পড়ে থাকা দুই রহমানের মৃতদেহ এই দুর্ভাগা জাতিকে করেছে আজীবনের জন্য বিভক্ত ... ঘাতকরা কিন্তু কেউ আবাঙ্গালী ছিলো না ..!!!
neg,খালেদা জিয়ার জন্মেরই ঠিক নেই তার কয়টা জন্মতারিখ নিজেই জানে না
pos,মহান স্বাধীনতার ঘোষক
ntr,বহুদলীয় গণতন্ত্রের প্রবক্তা 
pos,ভাগ্যিস বাংলার এই মহানায়ক বেছে নেই থাকলে হয়তো এই সমাজের কিছু দুষ্টু লোক থাকে রাজাকার বলেই ফেলতো
pos,বেছে থাকুন হাজার বছর বাঙালির অন্তরে
pos,"জিয়া জাতীর এক মহান অনুপ্রেরণা। জিয়া আছে,থাকবে।জিয়ার সম্মান ম্লান করার সমস্ত চেস্টা বুমেরাং হয়ে কুচক্রীদের গায়ে বিধবে।"
ntr,শুধু জিয়ার সমালোচিত দিক নিয়ে রিপোর্ট করেন! আর কারও বেলায় দেখি শুধু গুণ গান নিয়ে ব্যাস্ত থাকেন!! তাদের কি সমআলোচিত কোন খবর আপনাদের জানা নাই? নাকি ইচ্ছে করে রিপোর্ট করেন না মিঃ আস্হা হারানো বি বি সি বাংলা?
neg,সেনা নিধনে পৃথিবীর সেরা
neg,শাষক মেজর জিয়া।
ntr,পারে আছেন তার দুই বন্ধু
ntr,এ লেখা থেকে মনে হয় জিয়ার স্বাধীনতা বিরোধীদের সাথে সখ্যতা ছিল বেশী । বাধ্য হয়েই উনি স্বাধীনতা যুদ্ধে অংশগ্রহণ করেছিলেন। আল্লাহ্‌ উনার ভুল ত্রুটি মাফ করে দিয়ে উনা কে জান্নাত নসীব করুন। আমিন।
ntr,লিখলেন বহুদলীয় গণতন্ত্র প্রতিষ্ঠার মাধ্যমে ধর্মীয় রাজনীতির পথ উন্মুক্ত হয়েছিল। শুধু কি তাই? আর কোনো দল রাজনীতি করার সুযোগ পায়নি? এতো দালালি করে বিবিসিকে বিটিভি বানিয়ে ফেললেন। কোথাকার ডয়েচেভেলে এখন আপনাদের উপর রেটিং এ আছে। তবুও লজ্জা লাগে না? ছি!
neg,"জিয়ার জন্য দেশ 20-30 বছর পিছিয়ে গেছে।বিনা কারনে মুক্তিযোদ্ধা সেনা ও বিমান বাহিনির অফিসারদের প্রান হারাতে হয়েছে, রাজাকারের হয়েছে পুরুষ্কৃত।জিয়াউর রহমান জীবনের শেষ দিন পর্যন্ত পাকিস্তানের গোয়েন্দা হয়ে কাজ করেছে।"
ntr,বহুদলীয় গণতন্ত্র ফিরিয়ে এনে জিয়াউর রহমান সকল গনতান্ত্রিক দলকে রাজনীতি করার সুযোগ করে দিয়েছেন অথচ বদনাম ছড়ানোর জন্য শুধু জামায়াতকে কেন টানা হয় এই প্রশ্নটি তুলে ধরার মত সত্যবাদী সাংবাদিক আজও দেখলামনা।
ntr,"জিয়াউর রহমানের শাসনামল নিয়ে যে অভিযোগটি সবচেয়ে বেশি সেটি হচ্ছে, যেসব ব্যক্তি বাংলাদেশের স্বাধীনতার রাজনৈতিক বিরোধিতা করেছিল কিংবা পাকিস্তান সরকারের প্রতি অনুগত ছিল তাদের মন্ত্রীসভায় স্থান দেয়া হয়।বাংলাদেশের মুক্তিযুদ্ধের সময় পাকিস্তানের সামরিক স… See more"
